Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete	Annotation BUSCO Single Copy	Annotation BUSCO Duplicated	Annotation BUSCO Fragmented	Annotation BUSCO Missing	Annotation BUSCO Lineage	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Type Material Display Text	CheckM marker set	CheckM completeness	CheckM contamination
GCF_037783145.1	EquPr2	Equus przewalskii	9798						Varuska	female	GCF_037783145.1-RS_2024_12	2499640368	33	Chromosome	2024-04-01	JAZHEL01	25995503	85145959	2146	0.98904693	0.98430604	0.004740886	0.005476541	0.005476541	laurasiatheria_odb10	Oxford Nanopore PromethION	University of Minnesota	PRJNA1063310	SAMN39404770	34800	20517	2447				
GCF_020745825.1	Agelaius phoeniceus 1.1	Agelaius phoeniceus	39638						BioBank_ID:100140	female	GCF_020745825.1-RS_2023_03	1188530404	37	Chromosome	2023-03-15	JAIWQD01	22833505	36435137	440	0.9888418	0.9847842	0.0040575434	0.003504242	0.0076540024	passeriformes_odb10	PacBio RSII	Brood Parasitic Bird Genomes Consortium	PRJNA735624	SAMN19590559	18121	16104	340				
GCF_028858725.1	bColStr4.1.hap1	Colius striatus	57412						bColStr4	female	GCF_028858725.1-RS_2023_12	1212464869	32	Chromosome	2023-02-24	JARBXP01	21931325	89023854	190	0.9780523	0.9665387	0.011513553	0.0028783882	0.019069321	aves_odb10	PacBio Sequel II HiFi; Bionano DLS; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA936149	SAMN33339572	17551	15621	316				
GCF_040954835.1	fLepOcu1.hap2	Lepisosteus oculatus	7918						fLepOcu1	male	GCF_040954835.1-RS_2024_09	1200589847	29	Chromosome	2024-08-01	JBDILY01	20019514	47769348	816	0.98846155	0.978022	0.010439561	0.005769231	0.005769231	actinopterygii_odb10	PacBio Revio HiFi; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA1106999	SAMN41155427	49180	20652	2094				
GCF_028389875.1	bPtePen1.pri	Rhea pennata	8795						bPtePen1	male	GCF_028389875.1-RS_2023_12	1269000025	40	Chromosome	2023-02-06	JAQOLV01	19335416	82467789	179	0.99028546	0.9864476	0.0038378509	0.002158791	0.007555769	aves_odb10	PacBio Sequel II HiFi; Bionano DLS; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA918801	SAMN32606345	19550	16410	249				
GCF_014839835.1	bDryPub1.pri	Dryobates pubescens	118200						bDryPub1	female	GCF_014839835.1-RS_2023_03	1187939694	46	Chromosome	2020-10-02	JACNMV01	19150283	38715865	180	0.98081076	0.9762533	0.004557448	0.0033581194	0.015831135	aves_odb10	PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA561991	SAMN12629497	16340	15338	93				
GCF_929443795.1	bAccGen1.1	Accipiter gentilis	8957								GCF_929443795.1-RS_2023_02	1398011397	40	Chromosome	2022-02-09	CAKNBG01	17712854	35025567	454	0.9918446	0.98560804	0.0062365076	0.0014391941	0.006716239	aves_odb10		WELLCOME SANGER INSTITUTE	PRJEB50702	SAMEA8235650	19564	16976	165				
GCF_036373705.1	fAmiCal2.hap1	Amia calva	7924						fAmiCal2	female	GCF_036373705.1-RS_2024_07	989103751	23	Chromosome	2024-02-06	JAZGUU01	17465777	44181238	389	0.98131865	0.960989	0.020329671	0.0063186814	0.012362638	actinopterygii_odb10	PacBio Revio HiFi; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA1070663	SAMN39643085	61042	20677	14554				
GCF_015220075.1	bFalRus1.pri	Falco rusticolus	120794						bFalRus1	female	NCBI Falco rusticolus Annotation Release 100	1195829278	24	Chromosome	2020-11-03	JADCQO01	15323486	91094845	132	0.98956585	0.9835692	0.0059966417	0.004197649	0.0062365076	aves_odb10	PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA561988	SAMN12629496	19484	15894	158				
GCF_902686445.1	mSciCar1.2	Sciurus carolinensis	30640								GCF_902686445.1-RS_2023_03	2815397268	21	Chromosome	2020-07-31	CACRXI02	13975867	148229995	752	0.987317	0.95847225	0.02884476	0.0035512394	0.0091317585	glires_odb10		SC	PRJEB35386	SAMEA994726	37331	21959	8526				
GCF_019740435.1	SWU_Gaff_1.0	Gambusia affinis	33528							female	NCBI Gambusia affinis Annotation Release 100	680149392	24	Chromosome	2021-08-25	JAAAQJ01	12906370	29761488	36	0.98028004	0.97042006	0.0098599885	0.0038125287	0.015907448	cyprinodontiformes_odb10	Oxford Nanopore MinION	Southwest University	PRJNA599452	SAMN13752108	28138	23148	257				
GCF_011762505.1	mArvNil1.pat.X	Arvicanthis niloticus	61156						mArvNil1	male	NCBI Arvicanthis niloticus Annotation Release 100	2496761438	23	Chromosome	2020-03-27	JAAOMG01	11143170	82689117	1595	0.9915205	0.9696333	0.02188723	0.0028989709	0.005580519	glires_odb10	PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA608735	SAMN12611849	31912	22234	5575				
GCF_002775205.1	X_maculatus-5.0-male	Xiphophorus maculatus	8083			JP 163 A				male	NCBI Xiphophorus maculatus Annotation Release 102	704304519	24	Chromosome	2017-12-07	PGSD01	9181372	31535491	101	0.9925721	0.987182	0.0053901267	0.0015775982	0.0058502597	cyprinodontiformes_odb10	PacBio_Sequel	The Genome Institute, Washington University at St. Louis	PRJNA72525	SAMN08025980	27255	23238	250				
GCF_033807715.1	fColSai1.1	Cololabis saira	129043						AMF1-May2022	male	GCF_033807715.1-RS_2023_12	1146345828	24	Chromosome	2023-11-22	JAWMCI01	8087617	47710000	758	0.9892857	0.96483517	0.02445055	0.0024725276	0.008241759	actinopterygii_odb10	PacBio Sequel	National Insitute of Genetics	PRJNA1027303	SAMN37790936	46644	23923	920				
GCF_036324505.1	JC_Emac_rtc_rv5	Eleginops maclovinus	56733					Puerto Natales	JMC-PN-2008		GCF_036324505.1-RS_2024_03	606289673	24	Chromosome	2024-02-01	JAUZQC01	7582354	26674500	26	0.989011	0.98351645	0.0054945056	0.0024725276	0.008516484	actinopterygii_odb10	PacBio Sequel II; Hi-C	catchenlab_notothenioids	PRJNA917608	SAMN34355790	26310	22649	276				
GCF_009819885.2	bCatUst1.pri.v2	Catharus ustulatus	91951						bCatUst1	female	NCBI Catharus ustulatus Annotation Release 101	1131616530	41	Chromosome	2020-12-22	WNMQ02	4908935	68462074	160	0.9893028	0.9633899	0.025912948	0.0021209887	0.0085761715	passeriformes_odb10	PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA561933	SAMN12618602	19631	16929	215				
GCF_947461875.1	bHalAlb1.1	Haliaeetus albicilla	8969								GCF_947461875.1-RS_2024_11	1320298205	34	Chromosome	2022-12-06	CANHOD01	4576000	44398590	188	0.98836654	0.98189014	0.0064763734	0.003597985	0.0080355005	aves_odb10	PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB57865	SAMEA12857288	22088	17123	281				
GCF_900246225.1	fAstCal1.2	Astatotilapia calliptera	8154								NCBI Astatotilapia calliptera Annotation Release 100	880428986	22	Chromosome	2018-05-30	OFHY03	4438245	38669361	248	0.98324174	0.9653846	0.017857144	0.0024725276	0.014285714	actinopterygii_odb10		SC	PRJEB24325	SAMEA104026430	31331	26070	982				
GCF_003711565.1	ASM371156v2	Takifugu flavidus	433684						HTHZ2018	female	GCF_003711565.1-RS_2023_06	366286831	22	Chromosome	2019-08-16	RHFK02	4357567	15676631	867	0.97967035	0.97032964	0.00934066	0.004945055	0.015384615	actinopterygii_odb10	PacBio Sequel	Frasergen bioinfomatics	PRJNA491395	SAMN10077091	27505	21500	506				
GCF_013358895.1	ZZ_aureus	Oreochromis aureus	47969		Guangdong	Israel				male	NCBI Oreochromis aureus Annotation Release 101	1005558595	22	Chromosome	2020-06-19	JAAMTF01	4182292	40723988	303	0.9953297	0.97527474	0.020054946	0.0021978023	0.0024725276	actinopterygii_odb10	Oxford Nanopore PromethION	University of Vienna	PRJNA609616	SAMN14256941	36085	27686	979				
GCF_963924675.1	mPhoPho1.1	Phocoena phocoena	9742								GCF_963924675.1-RS_2024_06	2512713112	22	Chromosome	2024-01-29	CAWUQR01	3726689	110192646	439	0.9819273	0.9742032	0.0077240346	0.0068991375	0.011173603	cetartiodactyla_odb10	PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB72090	SAMEA111380536	25973	18252	3928				
GCF_027596085.1	Afim_UVic_2022	Anoplopoma fimbria	229290		Golden Eagle Sablefish				UVic2021		GCF_027596085.1-RS_2023_03	653543715	24	Chromosome	2023-02-16	JAPDVQ01	2569385	26734982	7493	0.9936813	0.982967	0.010714286	0.0032967033	0.003021978	actinopterygii_odb10	Oxford Nanopore MinION; Illumina HiSeq	University of Victoria	PRJNA869752	SAMN30324849	28583	22517	639				
GCF_949316205.1	fPlaFle2.1	Platichthys flesus	8260								GCF_949316205.1-RS_2024_01	597120941	24	Chromosome	2023-04-05	CASGFU01	2078972	26770804	108	0.9953297	0.98626375	0.009065934	0.0005494506	0.0041208793	actinopterygii_odb10	PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB60141	SAMEA110026475	44791	22239	6292				
GCF_021184085.1	OgorEven_v1.0	Oncorhynchus gorbuscha	8017					Even-year	QuinsamMale2020	male	NCBI Oncorhynchus gorbuscha Annotation Release 100	2690266878	27	Chromosome	2021-12-15	JAGYUW01	1451475	85609528	19027	0.98791206	0.6043956	0.3835165	0.0074175824	0.00467033	actinopterygii_odb10	Oxford Nanopore MinION; MGI; Illumina	Fisheries and Oceans Canada	PRJNA556728	SAMN18987060	59869	40846	4472				
GCF_015708825.1	ASM1570882v1	Lethenteron reissneri	7753						LAM-NWPU_2019-01	male	GCF_015708825.1-RS_2023_12	1063012140	72	Chromosome	2020-12-01	JADLOY01	1412731	13487809	1945	0.73852116	0.6431127	0.09540847	0.03249851	0.22898032	vertebrata_odb10	PacBio Sequel	Center for Ecological and Environmental Sciences	PRJNA558325	SAMN12436412	24131	19027	888				
GCF_963854185.1	fSarPil1.1	Sardina pilchardus	27697								GCF_963854185.1-RS_2024_01	869396467	24	Chromosome	2023-12-14	CAWKYN01	1117303	34617450	240	0.98351645	0.960989	0.022527473	0.0043956046	0.012087912	actinopterygii_odb10	PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB71085	SAMEA111562172	44556	26477	305				
GCF_000165445.2	Mmur_3.0	Microcebus murinus	30608						mixed	pooled male and female	NCBI Microcebus murinus Annotation Release 101	2487392024	33	Chromosome	2017-02-06	ABDC03	210702	108171978	7677	0.9776488	0.9638607	0.0137880985	0.0092162555	0.013134978	primates_odb10	Illumina; PacBio RS; PacBio RSII	Baylor College of Medicine	PRJNA19967	SAMN06275470	31964	20522	4114				
GCF_028533385.1	Panthera_onca_HiC	Panthera onca	9690						Sample0147	female	GCF_028533385.1-RS_2023_10	2380242927	19	Chromosome	2023-02-09	JAQIGD01	53866	138099990	36242	0.92642397	0.9191146	0.0073093367	0.027168667	0.04640739	carnivora_odb10	HiSeq X Ten; NextSeq 500; Illumina NovaSeq 6000	DNA Zoo	PRJNA512907	SAMN14122073	35206	21071	3731				
GCF_021869965.1	sRhiTyp1.1	Rhincodon typus	259920						14	male	NCBI Rhincodon typus Annotation Release 101	2881325413	50	Chromosome	2022-02-03	JAHMAH01	48454	70796938	16776	0.8324389	0.8038163	0.02862254	0.110912345	0.056648776	vertebrata_odb10	Illumina HiSeq	Squalomix	PRJNA703743	SAMN19519256	25546	20753	804				
GCF_023343835.1	bLagMut1 primary	Lagopus muta	64668						bLagMut1	female	NCBI Lagopus muta Annotation Release 100	1026755127	40	Chromosome	2022-05-12	JAMCCT01	17905263	71229700	164	0.98896617	0.9862077	0.0027584552	0.0019189254	0.009114896	aves_odb10	PacBio Sequel II HiFi; Dovetail genomics Hi-C; Illumina NovaSeq	Vertebrate Genomes Project	PRJNA836583	SAMN25144835	20110	16078	229				
GCF_028769735.1	RI_Zleu_2.0	Zonotrichia leucophrys gambelii	257770						GWCS_2022_RI	female	GCF_028769735.1-RS_2024_04	1123996003	32	Chromosome	2023-12-27	JAPPSN02	14729340	71969017	3792	0.9922538	0.9888418	0.003412025	0.0020287717	0.0057174475	passeriformes_odb10	PacBio Sequel	The Roslin institute	PRJNA889240	SAMN31812169	19936	16563	292				
GCF_949987535.1	mBalAcu1.1	Balaenoptera acutorostrata	9767								GCF_949987535.1-RS_2023_06	2772885358	22	Chromosome	2023-05-01	CATLKF01	3015723	116513105	1374	0.9828271	0.95545554	0.027371578	0.0048743905	0.012298463	cetartiodactyla_odb10	PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB61579	SAMEA111380540	29837	20286	3997				
GCF_030028045.1	mHipAmp2.hap2	Hippopotamus amphibius kiboko	575201						mHipAmp2	female	GCF_030028045.1-RS_2023_06	2538242855	18	Chromosome	2023-05-18	JASFZL01	50348260	149218186	356	0.983877	0.94585675	0.038020246	0.0029246344	0.013198351	cetartiodactyla_odb10	PacBio Sequel II HiFi; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA936168	SAMN33342074	32857	22139	4665				
GCF_024542745.1	ASM2454274v1	Macaca thibetana thibetana	257877						TM-01	male	GCF_024542745.1-RS_2023_02	2822383045	22	Chromosome	2022-08-09	JANHGW01	48622411	150623419	623	0.9894049	0.9761248	0.013280116	0.002394775	0.008200291	primates_odb10	PacBio Sequel	Sichuan university	PRJNA821381	SAMN27068423	35380	21402	6092				
GCF_036417845.1	bAptMan1.hap1	Apteryx mantelli	2696672						bAptMan1	male	GCF_036417845.1-RS_2024_08	1504396159	43	Chromosome	2024-02-06	JAYMGQ01	19797665	88095958	408	0.98380905	0.9790118	0.0047973134	0.004437515	0.0117534185	aves_odb10	PacBio Sequel II HiFi; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA1061176	SAMN39257886	21410	17430	371				
GCF_021613505.1	UCLA_HA_Equagga_1.0	Equus quagga	89248						Etosha38		GCF_021613505.1-RS_2023_03	2500914156	22	Chromosome	2022-01-31	JAKJSB01	427941	122556673	12506	0.98397905	0.94850415	0.035474908	0.005067844	0.010953082	laurasiatheria_odb10	Illumina HiSeq	University of California Los Angeles	PRJNA785630	SAMN16526506	27599	21070	2225				
GCF_029407905.1	PCC_UOA_SB_1v2	Bubalus kerabau	3119969		swamp buffalo			Philippines	K-KA32	female	GCF_029407905.1-RS_2024_02	2898492518	24	Chromosome	2023-03-31	JARFXY01	91172394	121846921	115	0.98732656	0.9713536	0.015973004	0.0044994378	0.008173978	cetartiodactyla_odb10	PacBio Sequel II	University of Adelaide	PRJNA901059	SAMN31703457	40636	21871	4726				
GCF_028018385.1	mNeoNeb1.pri	Neofelis nebulosa	61452						mNeoNeb1	male	GCF_028018385.1-RS_2023_07	2468345093	20	Chromosome	2023-01-31	JAQMCS01	51579577	150204169	33	0.9893808	0.9772445	0.012136257	0.0023445042	0.008274721	carnivora_odb10	PacBio Sequel II HiFi; Bionano Genomics DLS; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA915742	SAMN31801981	36852	20501	3810				
GCF_037038585.1	bPatFas1.hap1	Patagioenas fasciata	372321						bPatFas1	female	GCF_037038585.1-RS_2025_02	1454324034	41	Chromosome	2025-02-07	JBAMBU02	48246320	71669782	360	0.989206	0.9824898	0.006716239	0.003717918	0.0070760376	aves_odb10	PacBio Sequel II HiFi; Oxford Nanopore PromethION; Arima Hi-C v2; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA1078807	SAMN40018840	22217	17516	448				
GCF_033115175.1	mLepTim1.pri	Lepus europaeus	9983						LE1	male	GCF_033115175.1-RS_2024_01	2930954587	25	Chromosome	2023-10-31	JAVHNT01	43409466	125776599	650	0.98391074	0.95057255	0.033338167	0.0037686622	0.0123206265	glires_odb10	PacBio RSII	University of Eastern Finland	PRJNA1009711	SAMN33984520	30833	21467	5947				
GCF_026419965.1	mKogBre1 haplotype 1	Kogia breviceps	27615						mKogBre1	female	GCF_026419965.1-RS_2024_07	2555838840	21	Chromosome	2022-11-27	JAPMIF01	42780423	122394096	580	0.9716535	0.9633296	0.008323959	0.008848893	0.019497562	cetartiodactyla_odb10		Vertebrate Genomes Project	PRJNA901930	SAMN31719513	28611	18349	4083				
GCF_027406575.1	mNycCou1.pri	Nycticebus coucang	9470						mNycCou1	male	GCF_027406575.1-RS_2023_03	2917154053	26	Chromosome	2022-12-28	JAPZEE01	41197715	135917784	84	0.9761248	0.93091434	0.04521045	0.003555878	0.020319303	primates_odb10	PacBio Sequel II HiFi; Bionano DLS; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA838348	SAMN28408555	38900	22137	9539				
GCF_019393635.1	mDroGli1.pri	Dromiciops gliroides	33562						mDroGli1	female	NCBI Dromiciops gliroides Annotation Release 100	3303199800	7	Chromosome	2021-08-03	JAHYBR01	38230856	670775900	17	0.97311944	0.93518317	0.037936267	0.0062865815	0.020593973	mammalia_odb10	PacBio Sequel II CLRQ; 10X Genomics linked reads; Bionano Genomics DLS; Arima Genomics v1 Hi-C	Vertebrate Genomes Project	PRJNA728141	SAMN18857598	31081	21870	6021				
GCF_020740605.2	mLemCat1.pri	Lemur catta	9447						mLemCat1	male	NCBI Lemur catta Annotation Release 100	2245584463	29	Chromosome	2021-11-04	JAJGPY01	32529614	102162704	184	0.9685776	0.9547896	0.0137880985	0.004644412	0.02677794	primates_odb10	Pacbio Sequel II CCS; 10X Genomics linked reads; Bionano Genomics DLS; Arima Genomics v1 Hi-C	Vertebrate Genomes Project	PRJNA561949	SAMN12621102	30858	19990	3545				
GCF_028858705.1	bGruAme1.mat	Grus americana	9117						bGruAme1	male	GCF_028858705.1-RS_2023_03	1257821324	40	Chromosome	2023-02-24	JARBUS01	28324902	82903739	929	0.9912449	0.98380905	0.007435836	0.0023986567	0.0063564405	aves_odb10	PacBio Sequel II CLR; 10X Gemonics linked reads; Arima Hi-C v1; Bionano DLS	Vertebrate Genomes Project	PRJNA924953	SAMN32775697	20835	17399	263				
GCF_037042795.1	BPBGC_Maene_1.0	Molothrus aeneus	84833						106	female	GCF_037042795.1-RS_2024_07	1177171786	35	Chromosome	2024-03-07	JAXHEC01	25845000	70606200	527	0.99142385	0.9886573	0.0027665067	0.0040575434	0.0045186277	passeriformes_odb10	PacBio Revio	Brood Parasitic Bird Genomes Consortium	PRJNA1045801	SAMN38454154	18476	16194	343				
GCF_036013445.1	bCalNic1.hap1	Caloenas nicobarica	187106						bCalNic1	female	GCF_036013445.1-RS_2024_06	1285834579	40	Chromosome	2024-01-26	JAYKXI01	25101800	79699707	806	0.9934037	0.9905253	0.0028783882	0.0013192613	0.005277045	aves_odb10	PacBio Sequel II HiFi; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA1061158	SAMN39256628	18897	17126	276				
GCF_023638135.1	bFalBia1.pri	Falco biarmicus	345155						bFalBia1	female	GCF_023638135.1-RS_2023_05	1285492283	24	Chromosome	2022-06-02	JAMOAT01	24892811	91472507	397	0.9854881	0.97997123	0.0055169105	0.0028783882	0.011633486	aves_odb10	PacBio Sequel II HiFi; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA842826	SAMN28688289	19520	15891	209				
GCF_020740725.1	bCorHaw1.pri.cur	Corvus hawaiiensis	134902						bCorHaw1	female	NCBI Corvus hawaiiensis Annotation Release 100	1151594481	43	Chromosome	2021-11-04	JAJGSY01	23064755	76278832	187	0.9935448	0.99096274	0.002582073	0.0016599041	0.0047952784	passeriformes_odb10	PacBio Sequel II HiFi; Illumina NovaSeq; Bionano Genomics Saphyr DLS; Arima Genomics Hi-C v2	Vertebrate Genomes Project	PRJNA774314	SAMN22550278	21647	16414	145				
GCF_020740685.1	mJacJac1.mat.Y.cur	Jaculus jaculus	51337						mJacJac1	male	NCBI Jaculus jaculus Annotation Release 102	2863848715	25	Chromosome	2021-11-04	JAJGSA01	22104564	158244790	159	0.9794173	0.9395565	0.03986085	0.0044209305	0.016161762	glires_odb10	PacBio Sequel II CLR 101X; 10X Gemonics linked reads 78X; Bionano Genomics DLS 182X; Arima Genomics Hi-C v1 60X	Vertebrate Genomes Project	PRJNA773797	SAMN20391724	35105	20913	8011				
GCF_019097595.1	SWU_Hwy_1.0	Hemibagrus wyckioides	337641						EC202008001	female	GCF_019097595.1-RS_2023_07	789799567	29	Chromosome	2021-07-06	JAHKSW01	21700000	26010843	72	0.98763734	0.97527474	0.012362638	0.0024725276	0.00989011	actinopterygii_odb10	Oxford Nanopore PromethION; PacBio RSII	Southwest University	PRJNA720277	SAMN18644987	29308	23273	843				
GCF_015220235.1	mChoDid1.pri	Choloepus didactylus	27675						mChoDid1	male	NCBI Choloepus didactylus Annotation Release 100	3214686105	29	Chromosome	2020-11-03	JADCNF01	20994632	146178362	145	0.9765969	0.9172972	0.059299666	0.005894774	0.017508358	eutheria_odb10	PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA561937	SAMN12612024	41055	23549	12279				
GCF_037157495.1	bLatDis1.hap1	Lathamus discolor	678569						bLatDis1	female	GCF_037157495.1-RS_2024_06	1241003407	26	Chromosome	2024-03-15	JBBBVN01	19972387	126105786	367	0.9878868	0.97745264	0.010434157	0.0027584552	0.009354761	aves_odb10	PacBio Sequel II HiFi; Arima Hi-C v2; Bionano DLS	Vertebrate Genomes Project	PRJNA1085017	SAMN40289871	21285	16234	204				
GCF_009819795.1	bAytFul2.pri	Aythya fuligula	219594						bAytFul2	female	NCBI Aythya fuligula Annotation Release 100	1126988109	36	Chromosome	2019-12-31	WNMM01	17816505	85905639	104	0.9904054	0.98584795	0.004557448	0.0013192613	0.008275365	aves_odb10	PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA561952	SAMN12621346	17219	15578	142				
GCF_017976325.1	fCheRos1.pri	Chelmon rostratus	109905						fCheRos1		NCBI Chelmon rostratus Annotation Release 100	644191893	24	Chromosome	2021-04-15	JAGIYV01	16959746	27778429	28	0.99725276	0.98818684	0.009065934	0.0013736264	0.0013736264	actinopterygii_odb10	PacBio Sequel II CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA561969	SAMN12623620	24046	22040	270				
GCF_026419915.1	bHarHar1 primary haplotype	Harpia harpyja	202280						bHarHar1	female	GCF_026419915.1-RS_2023_02	1351447071	30	Chromosome	2022-11-27	JAPMHW01	16799191	58111031	322	0.99208444	0.9865675	0.0055169105	0.0020388581	0.0058767092	aves_odb10	PacBio Sequel II HiFi; Bionano optical mapping; Arima HiC	Vertebrate Genomes Project	PRJNA896141	SAMN31530492	20830	16803	174				
GCF_018320785.1	ASM1832078v1	Cheilinus undulatus	241271							female	NCBI Cheilinus undulatus Annotation Release 100	1173455521	24	Chromosome	2021-05-12	JAGUQY01	16477222	51466935	45	0.99038464	0.9826923	0.0076923077	0.0005494506	0.009065934	actinopterygii_odb10	Oxford Nanopore	Shanghai Ocean University	PRJNA622923	SAMN14532944	26354	23316	418				
GCF_026979565.1	bVidCha1 merged haplotype	Vidua chalybeata	81927						OUT-0048	female	GCF_026979565.1-RS_2023_03	1080440577	41	Chromosome	2022-12-21	JAPVQZ01	15819291	72553174	177	0.9892106	0.9857064	0.003504242	0.0035964588	0.0071929176	passeriformes_odb10	PacBio Sequel II HiFi; Illumina	Vertebrate Genomes Project	PRJNA889055	SAMN12254000	21003	16658	174				
GCF_020497125.1	ASM2049712v1	Mauremys mutica	74926					Southern	MM-2020	female	NCBI Mauremys mutica Annotation Release 100	2484351270	26	Chromosome	2021-10-14	JAHDVG01	15010728	135065811	594	0.9931818	0.971123	0.022058824	0.0010695187	0.005748663	sauropsida_odb10	PacBio	Institute of Zoology, Guangdong Academy of Science	PRJNA729638	SAMN19136605	35641	23281	1165				
GCF_030936135.1	bGavSte3.hap2	Gavia stellata	37040						bGavSte3	male	GCF_030936135.1-RS_2023_09	1321270170	44	Chromosome	2023-08-30	JAVGIZ01	13765203	50637386	1185	0.9943631	0.9904054	0.003957784	0.0015591269	0.0040777163	aves_odb10	PacBio Sequel II HiFi; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA1008847	SAMN37096312	17980	16399	297				
GCF_012460135.2	BPBGC_Mater_1.1	Molothrus ater	84834		brown headed cowbird				BHLD 08-10-18	female	GCF_012460135.2-RS_2023_03	1087219985	41	Chromosome	2022-10-11	JAAQZI01	13273966	70107701	373	0.9925304	0.985983	0.0065473993	0.0013832534	0.006086315	passeriformes_odb10	PacBio Sequel II	Brood Parasitic Bird Genomes Consortium	PRJNA606972	SAMN14074414	18259	16046	208				
GCF_014805685.1	ASM1480568v1	Silurus meridionalis	175797						SWU-2019-XX	female	NCBI Silurus meridionalis Annotation Release 100	742579920	29	Chromosome	2020-10-02	JABFDY01	13195069	28049309	285	0.9758242	0.96043956	0.015384615	0.0032967033	0.020879121	actinopterygii_odb10	Oxford Nanopore PromethION	Southwest University	PRJNA623722	SAMN14558653	28655	22599	386				
GCF_015220715.1	fPygNat1.pri	Pygocentrus nattereri	42514						fPygNat1	male	NCBI Pygocentrus nattereri Annotation Release 101	1222050449	30	Chromosome	2020-11-03	JADFAU01	12898870	42283192	55	0.99725276	0.99038464	0.006868132	0.00082417583	0.0019230769	actinopterygii_odb10	PacBio Sequel I CLR; llumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA561975	SAMN12623623	30575	25548	657				
GCF_009650955.1	bCorMon1.pri	Corvus moneduloides	1196302						bCorMon1	female	NCBI Corvus moneduloides Annotation Release 100	1112734094	36	Chromosome	2019-11-14	WHPO01	11524098	74699841	105	0.99050164	0.9862597	0.0042419774	0.0021209887	0.0073773516	passeriformes_odb10	PacBio Sequel I; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA560983	SAMN12368441	20781	16167	101				
GCF_012432095.1	ASM1243209v1	Onychostoma macrolepis	369639						SWU-2019	female	GCF_012432095.1-RS_2023_08	886569841	25	Chromosome	2020-04-17	JAAMOB01	10809623	34067727	352	0.98818684	0.9763736	0.011813187	0.0019230769	0.00989011	actinopterygii_odb10	Oxford Nanopore PromethION; Illumina HiSeq; Hi-C; Bionano optical mapping	SOUTHWEST UNIVERSITY	PRJNA608076	SAMN14163390	34189	26202	1058				
GCF_036250125.1	bDixPip1.hap1	Pseudopipra pipra	415032						bDixPip1	female	GCF_036250125.1-RS_2024_04	1165201947	33	Chromosome	2024-01-31	JAZAVG01	10447158	75011098	696	0.98662853	0.9790668	0.007561785	0.003504242	0.009867208	passeriformes_odb10	PacBio Sequel II HiFi; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA1057371	SAMN32739894	24218	17114	290				
